"id"	"type_id"	"mat_id"	"name"	"group_id"	"radius"	"shag"	"gabarit"	"width"	"diam"	"kolvo_sklad"	"norma"	"zakaz"	"geometry"	"id_parent"	"property"
"392"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"41"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""41"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"393"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"41"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""41"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"148"	"55"	"33"	"DCMT11T304-AK WSK10 HARDSTONE"	"81"	"0.4"		"большая"								"{""5"": ""большая"", ""12"": ""0.4"", ""mat_id"": ""33"", ""type_id"": ""55"", ""group_id"": ""81""}"
"395"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"42"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""42"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"397"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"43"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""43"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"398"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"44"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""44"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"399"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"44"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""44"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"400"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"45"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""45"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"402"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"46"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""46"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"403"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"46"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""46"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"394"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"42"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""42"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"404"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"47"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""47"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"407"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"48"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""48"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"408"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"49"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""49"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"409"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"49"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""49"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"411"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"50"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""50"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"412"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"51"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""51"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
