"id"	"type_id"	"mat_id"	"radius"	"name"	"kolvo_sklad"	"norma"	"zakaz"	"group_id"	"shag"	"gabarit"	"width"	"diam"	"geometry"	"property"	"parent_id"
"324"	"51"	"30"		""				"71"		" стандартный"		"11,9"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""11,9""}"	
"325"	"51"	"30"		""				"71"		" стандартный"		"12"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""12""}"	
"326"	"51"	"30"		""				"71"		" стандартный"		"12,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""12,5""}"	
"327"	"51"	"30"		""				"71"		" стандартный"		"13"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""13""}"	
"328"	"51"	"30"		""				"71"		" стандартный"		"13,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""13,5""}"	
"329"	"51"	"30"		""				"71"		" стандартный"		"14"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""14""}"	
"330"	"51"	"30"		""				"71"		" стандартный"		"14,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""14,5""}"	
"331"	"51"	"30"		""				"71"		" стандартный"		"15"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""15""}"	
"332"	"51"	"30"		""				"71"		" стандартный"		"15.5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""15.5""}"	
"333"	"51"	"30"		""				"71"		" стандартный"		"16"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""16""}"	
"334"	"51"	"30"		""				"71"		" стандартный"		"16,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""16,5""}"	
"335"	"51"	"30"		""				"71"		" стандартный"		"17"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""17""}"	
"336"	"51"	"30"		""				"71"		" стандартный"		"17,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""17,5""}"	
"337"	"51"	"30"		""				"71"		" стандартный"		"18"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""18""}"	
"338"	"51"	"30"		""				"71"		" стандартный"		"18,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""18,5""}"	
"339"	"51"	"30"		""				"71"		" стандартный"		"19"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""19""}"	
"340"	"51"	"30"		""				"71"		" стандартный"		"19,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""19,5""}"	
